"Australian Bureau of Statistics",,,,,,,,
"3302055001DO001_20082010 Life Tables, Australia, 2008-2010",,,,,,,,
"Released at 11:30 am (Canberra time) Thurs 10 Nov 2011",,,,,,,,
"Table 1 Life Tables, Australia, 2008 -- 2010",,,,,,,,
,"Males",,,,"Females",,,
,"lx","qx","Lx","ex","lx","qx","Lx","ex"
,"no.","no.","no.","no.","no.","no.","no.","no."
"0","100,000",0.00497,"99,555",79.5,"100,000",0.00353,"99,685",84.0
"1","99,503",0.00040,"99,481",78.9,"99,647",0.00031,"99,629",83.3
"2","99,463",0.00022,"99,451",77.9,"99,616",0.00016,"99,607",82.4
"3","99,441",0.00016,"99,432",77.0,"99,600",0.00013,"99,594",81.4
"4","99,424",0.00013,"99,417",76.0,"99,588",0.00010,"99,582",80.4
"5","99,411",0.00012,"99,405",75.0,"99,577",0.00009,"99,572",79.4
"6","99,399",0.00011,"99,393",74.0,"99,568",0.00008,"99,564",78.4
"7","99,388",0.00010,"99,383",73.0,"99,560",0.00008,"99,556",77.4
"8","99,378",0.00010,"99,373",72.0,"99,552",0.00007,"99,548",76.4
"9","99,368",0.00009,"99,363",71.0,"99,545",0.00007,"99,541",75.4
"10","99,359",0.00009,"99,354",70.0,"99,538",0.00007,"99,534",74.4
"11","99,349",0.00010,"99,344",69.0,"99,531",0.00008,"99,527",73.4
"12","99,340",0.00010,"99,335",68.0,"99,523",0.00008,"99,519",72.4
"13","99,329",0.00013,"99,323",67.0,"99,515",0.00009,"99,511",71.4
"14","99,317",0.00018,"99,308",66.0,"99,506",0.00012,"99,500",70.4
"15","99,298",0.00027,"99,286",65.1,"99,494",0.00015,"99,487",69.4
"16","99,271",0.00038,"99,253",64.1,"99,480",0.00019,"99,471",68.5
"17","99,234",0.00048,"99,211",63.1,"99,461",0.00022,"99,450",67.5
"18","99,186",0.00056,"99,159",62.1,"99,439",0.00024,"99,427",66.5
"19","99,131",0.00061,"99,101",61.2,"99,415",0.00025,"99,403",65.5
"20","99,070",0.00063,"99,039",60.2,"99,391",0.00025,"99,378",64.5
"21","99,008",0.00063,"98,977",59.2,"99,366",0.00025,"99,354",63.5
"22","98,945",0.00063,"98,914",58.3,"99,341",0.00025,"99,329",62.5
"23","98,883",0.00064,"98,851",57.3,"99,317",0.00026,"99,304",61.6
"24","98,819",0.00066,"98,787",56.3,"99,291",0.00028,"99,277",60.6
"25","98,754",0.00068,"98,720",55.4,"99,263",0.00029,"99,249",59.6
"26","98,686",0.00071,"98,652",54.4,"99,234",0.00031,"99,219",58.6
"27","98,617",0.00073,"98,581",53.5,"99,204",0.00032,"99,188",57.6
"28","98,545",0.00075,"98,508",52.5,"99,172",0.00033,"99,156",56.6
"29","98,471",0.00078,"98,433",51.5,"99,139",0.00035,"99,122",55.7
"30","98,394",0.00081,"98,355",50.6,"99,105",0.00037,"99,087",54.7
"31","98,314",0.00085,"98,273",49.6,"99,068",0.00039,"99,049",53.7
"32","98,231",0.00089,"98,188",48.7,"99,030",0.00041,"99,010",52.7
"33","98,144",0.00093,"98,098",47.7,"98,989",0.00044,"98,967",51.7
"34","98,053",0.00097,"98,006",46.7,"98,945",0.00047,"98,922",50.8
"35","97,958",0.00101,"97,909",45.8,"98,898",0.00051,"98,873",49.8
"36","97,859",0.00106,"97,807",44.8,"98,848",0.00055,"98,821",48.8
"37","97,755",0.00111,"97,701",43.9,"98,793",0.00060,"98,764",47.8
"38","97,646",0.00118,"97,589",42.9,"98,734",0.00065,"98,702",46.9
"39","97,531",0.00125,"97,471",42.0,"98,670",0.00071,"98,635",45.9
"40","97,409",0.00134,"97,345",41.0,"98,600",0.00078,"98,562",44.9
"41","97,279",0.00144,"97,210",40.1,"98,523",0.00085,"98,482",44.0
"42","97,139",0.00155,"97,065",39.1,"98,439",0.00093,"98,394",43.0
"43","96,989",0.00168,"96,908",38.2,"98,347",0.00102,"98,298",42.1
"44","96,826",0.00183,"96,738",37.3,"98,247",0.00112,"98,193",41.1
"45","96,649",0.00199,"96,554",36.3,"98,137",0.00122,"98,078",40.1
"46","96,456",0.00218,"96,352",35.4,"98,017",0.00134,"97,953",39.2
"47","96,246",0.00239,"96,132",34.5,"97,886",0.00146,"97,816",38.2
"48","96,016",0.00261,"95,892",33.6,"97,744",0.00159,"97,667",37.3
"49","95,765",0.00286,"95,630",32.7,"97,588",0.00173,"97,505",36.4
"50","95,491",0.00312,"95,344",31.7,"97,420",0.00187,"97,330",35.4
"51","95,193",0.00340,"95,034",30.8,"97,237",0.00203,"97,140",34.5
